CNPJ,Loja,Segmento,GP,GN,Feirao,Comercial,Gestor,Estoque,Faixa_Estoque,Ultima_Atualizacao,Faixa_Atualizacao,Status_Pgto
28729810000100,O Eskinao Do Automovel,RevendaCarro,NE3 - PAULO AMERICO LEMOS DE SEIXAS FILHO,GUTEMBERG TINEL OLIVEIRA,FEIRÃO SETEMBRO - P,Fernanda Souza,Fernanda Souza,0,Sem Estoque,,Nunca atualizou,PAGA
28918081000122,RACCAR MANO VEICULOS,Revenda Multimarcas,SC2 - FABIANO HEIL DIAS,Rafael Waldrich Eirof,Feirão Pontual - Feirão Setembro,Gabriel Pereira,Renan Winterink,3,Até 5,31/08/2026,Até 15 dias,PAGA
29078141000109,Anderson multimarcas Ltda,Revenda Multimarcas,SPINT3 - FABIO YOSHIKAZU TANIGUTI,Jessica Cristina de Oliveira,Feirão Pontual - 3 Feirões,Andre Souza,Luana Mota,0,Sem Estoque,,Nunca atualizou,PAGA
2910788000107,Top Veiculos Semi-Novos,RevendaCarro,SPINT4 - VINICIUS THIAGO PINHEIRO DOS SANTOS,lucas eredia amorim,FEIRÃO SETEMBRO - M,Juliana Grande,Juliana Grande,0,Sem Estoque,,Nunca atualizou,PAGA
2911518000102,Vip Motors,RevendaCarro,RS1 - DAIANE DOS SANTOS CORREA,CAMILA DA SILVA RAMIRES,FEIRÃO SETEMBRO - P,Bruna de Paula,Renan Winterink,0,Sem Estoque,,Nunca atualizou,PAGA
29121930000185,ANDERSON VIEIRA DA SILVA COMERCIO DE VEICULOS USADOS,RevendaCarro,SPINT4 - VINICIUS THIAGO PINHEIRO DOS SANTOS,Anderson Rodrigues de Sá,FEIRÃO SETEMBRO - M,Juliana Grande,Juliana Grande,1,Até 5,27/08/2026,Até 15 dias,PAGA
29134676000150,FAMILIA REIS COMERCIO DE VEICULOS LTDA,RevendaCarro,SP5 - STEPHANIE REIS,NUBIA IRES COSTA,FEIRÃO SETEMBRO - M,Andre Souza,Luana Mota,0,Sem Estoque,17/01/2026,Acima de 90 dias,PAGA
29177808000120,Prime veículos multimarcas Ltda,Revenda Multimarcas,SPINT4 - VINICIUS THIAGO PINHEIRO DOS SANTOS,Fabiana Pereira Quintiliano dos Reis,Feirão Pontual - Feirão Setembro,Juliana Grande,Juliana Grande,18,Até 20,21/08/2026,Até 15 dias,PAGA
29202341000121,Credi Facile Ltda,Revenda Multimarcas,SC1 - ELIANE DA SILVEIRA,Willian Monteiro Marcelino,Feirão Pontual - 3 Feirões,Gabriel Pereira,Renan Winterink,0,Sem Estoque,,Nunca atualizou,1 PARC ATRASO
29222674000112,MR MOTORS AUTOMOVEIS LTDA,RevendaCarro,CO2 - THEONILO GONCALINO DE ALMEIDA,Jefferson Clayton Lourenco,FEIRÃO SETEMBRO - P,Tatiane Silva,Renan Winterink,0,Sem Estoque,,Nunca atualizou,PAGA
29307558000104,Afonso Auto,Revenda Multimarcas,NE2 - TASSIA CAMILA GOMES DE OLIVEIRA,Gian Luka Santos Morais,Feirão Pontual - 3 Feirões,Ruana Figueroa,Fernanda Souza,3,Até 5,23/07/2026,31 a 60 dias,4 PARC ATRASO
2939060000108,WF VEÍCULOS,RevendaCarro,NE2 - TASSIA CAMILA GOMES DE OLIVEIRA,José Romário Feitosa dos Santos,FEIRÃO SETEMBRO - P,Ruana Figueroa,Fernanda Souza,28,Até 30,31/08/2026,Até 15 dias,PAGA
29398941000107,SRM PRIME,Revenda Multimarcas,MG1 - DOUGLAS HENRIQUE FERREIRA,Nathalia Pereira de Oliveira,Feirão Pontual - 3 Feirões,Ludmila Martins,Renan Winterink,17,Até 20,27/08/2026,Até 15 dias,PAGA
29405740000190,DIAN MOTOS E VEICULOS LTDA,Revenda Multimarcas,SC1 - ELIANE DA SILVEIRA,Diego de Moraes Subtil,Feirão Pontual - 2 Feirões,Gabriel Pereira,Renan Winterink,14,Até 20,29/07/2026,31 a 60 dias,PAGA
29496628000101,VITORIA VEICULOS LTDA,RevendaCarro,NE3 - PAULO AMERICO LEMOS DE SEIXAS FILHO,Thiago Dalforne de Sousa,FEIRÃO SETEMBRO - M,Fernanda Souza,Fernanda Souza,0,Sem Estoque,30/06/2023,Acima de 90 dias,AGUARDANDO_PAGAMENTO
29504641000165,Villa Veiculos,RevendaCarro,SPINT5 - EDILSON BERNAL MOLEIRO,daiane fernandes fidencio,FEIRÃO SETEMBRO - P,Juliana Grande,Juliana Grande,0,Sem Estoque,,Nunca atualizou,PAGA
29509590000164,MAIS VEICULOS,RevendaCarro,SE1 - BRUNO NOGUEIRA MARTINS,Hugo da Silva Rodrigues,FEIRÃO SETEMBRO - P,Ludmila Martins,Renan Winterink,0,Sem Estoque,,Nunca atualizou,PAGA
29519847000169,RENAN EMERSON MOTA CORREIA,Revenda Multimarcas,NE2 - TASSIA CAMILA GOMES DE OLIVEIRA,João Victor da Silva Torres,Feirão Pontual - 3 Feirões,Ruana Figueroa,Fernanda Souza,0,Sem Estoque,,Nunca atualizou,PAGA
29537791000175,Lume Serviços,RevendaCarro,SE1 - BRUNO NOGUEIRA MARTINS,Ronan Luiz da Silva,FEIRÃO SETEMBRO - M,Ludmila Martins,Renan Winterink,0,Sem Estoque,,Nunca atualizou,PAGA
29583742000179,Milico Multimarcas,RevendaCarro,RS1 - DAIANE DOS SANTOS CORREA,Camila da Silva Ramires,FEIRÃO SETEMBRO - P,Bruna de Paula,Renan Winterink,5,Até 5,27/08/2026,Até 15 dias,PAGA
29605390000105,SELECAO MULTIMARCAS,RevendaCarro,SP3 - EDWARD PEREZ CAMPOS,Eduardo Luis Braceiro,FEIRÃO SETEMBRO - M,Luana Marques,Juliana Grande,0,Sem Estoque,,Nunca atualizou,PAGA
29628865000189,PINHEIRO REVENDA DE CARROS MULTI MARCAS,RevendaCarro,RS1 - DAIANE DOS SANTOS CORREA,GILMAR OLIVEIRA PEREIRA,FEIRÃO SETEMBRO - M,Bruna de Paula,Renan Winterink,0,Sem Estoque,,Nunca atualizou,PAGA
29642992000132,Confielo veiculos ltda,RevendaCarro,SPINT1 - CHRISTIANE LOPES,Felipe menezes de mello,FEIRÃO SETEMBRO - P,Juliana Grande,Juliana Grande,0,Sem Estoque,,Nunca atualizou,PAGA
2974456000188,Canopus Honda,Concessionária,CO1 - NADIA JAMAYARA CARDOSO PRIMO,Wellington Carvalho Bem,Feirão Pontual - 3 Feirões,Tatiane Silva,Renan Winterink,10,Até 10,15/05/2026,Acima de 90 dias,PAGA
29753189000175,CF CAR VEICULOS LTDA,Revenda Multimarcas,MG1 - DOUGLAS HENRIQUE FERREIRA,Karen Sabrina Neves da Silva,Feirão Pontual - 3 Feirões,Ludmila Martins,Renan Winterink,34,Até 50,29/08/2026,Até 15 dias,PAGA
29774879000100,O. C. DE BRITO COMERCIO DE VEÍCULOS LTDA,Revenda Multimarcas,NE1 - FRANCISCA IVANISE CARVALHO FERNANDES,Ennes Carlos Simoes Maciel,Feirão Pontual - 3 Feirões,Fernanda Souza,Fernanda Souza,10,Até 10,15/05/2026,Acima de 90 dias,PAGA
29790777000189,V. PLACIDINO VEICULOS LTDA,Revenda Multimarcas,SC1 - ELIANE DA SILVEIRA,Everton Mateus Marczinski,Feirão Pontual - 3 Feirões,Gabriel Pereira,Renan Winterink,28,Até 30,29/08/2026,Até 15 dias,1 PARC ATRASO
29817135000126,TOQUETAO MULTIMARCAS COMERCIO DE VEICULOS E ESTACIONAMENTO LTDA,RevendaCarro,SPINT4 - VINICIUS THIAGO PINHEIRO DOS SANTOS,Joao Aparecido Toquetao Junior,FEIRÃO SETEMBRO - P,Juliana Grande,Juliana Grande,0,Sem Estoque,01/11/2021,Acima de 90 dias,PAGA
29855712000174,Gran motors,RevendaCarro,CO1 - NADIA JAMAYARA CARDOSO PRIMO,Túlio Martins Ferreira da Silva,2 FEIROES - M,Tatiane Silva,Renan Winterink,0,Sem Estoque,,Nunca atualizou,AGUARDANDO_PAGAMENTO
29967821000183,Depaulo car,Concessionária,NE2 - TASSIA CAMILA GOMES DE OLIVEIRA,Janaina Matos,Feirão Pontual - 3 Feirões,Ruana Figueroa,Fernanda Souza,56,Até 100,26/08/2026,Até 15 dias,PAGA
30067627000120,MIRIAN BAHLS FREITAS SANTOS GONCALVES,RevendaCarro,SP2 - LUIZ DE OLIVEIRA CRUZ,Vanessa Grando Correa,2 FEIROES - M,Luana Mota,Luana Mota,0,Sem Estoque,26/08/2026,Até 15 dias,PENDENTE_ACEITE
30081730000125,BY CAR,Revenda Multimarcas,SP4 - TIAGO FLORIANO OLIVEIRA,Eduardo Henrique de Almeida,Feirão Pontual - Feirão Setembro,Luana Marques,Juliana Grande,0,Sem Estoque,,Nunca atualizou,AGUARDANDO_PAGAMENTO
30117264000190,Top Car Multimarcas,RevendaCarro,SP5 - STEPHANIE REIS,Gabriel Kolarik Miranda,FEIRÃO SETEMBRO - M,Andre Souza,Luana Mota,22,Até 30,11/08/2026,Até 30 dias,PAGA
30196806000168,COMIN MULTIMARCAS,Revenda Multimarcas,SC2 - FABIANO HEIL DIAS,VILMAR SOBCSIK,Feirão Pontual - Feirão Setembro,Gabriel Pereira,Renan Winterink,0,Sem Estoque,,Nunca atualizou,PAGA
30222264000150,ROCHA VEICULOS,RevendaCarro,NE3 - PAULO AMERICO LEMOS DE SEIXAS FILHO,Pablo Leonardo Oliveira Cazotti,FEIRÃO SETEMBRO - M,Fernanda Souza,Fernanda Souza,0,Sem Estoque,,Nunca atualizou,PAGA
30257549000127,PETRAS VEICULOS,Revenda Multimarcas,SPINT5 - EDILSON BERNAL MOLEIRO,ANDREIA FIASCHI ANDREOLI,Feirão Pontual - 3 Feirões,Juliana Grande,Juliana Grande,36,Até 50,31/08/2026,Até 15 dias,PAGA
30312386000138,Victor Multimarcas,RevendaCarro,PR1 - DOUGLAS INÁCIO DA SILVA,Eduardo José Cheim Rodrigues,FEIRÃO SETEMBRO - M,Lucynara Ochiai,Renan Winterink,32,Até 50,31/08/2026,Até 15 dias,PAGA
30387073000149,TONELLO UTILITARIOS LTDA,RevendaCarro,SC2 - FABIANO HEIL DIAS,JAILSON MORAES,FEIRÃO SETEMBRO - M,Gabriel Pereira,Renan Winterink,12,Até 20,24/08/2026,Até 15 dias,PAGA
30389529000100,EMARQUES VEICULOS,RevendaCarro,SE1 - BRUNO NOGUEIRA MARTINS,Marlon Borges de oliveira,FEIRÃO SETEMBRO - P,Ludmila Martins,Renan Winterink,0,Sem Estoque,,Nunca atualizou,PAGA
30393414000199,30.393.414/0001-99,RevendaCarro,SC1 - ELIANE DA SILVEIRA,Mateus da Silva Dutra,FEIRÃO SETEMBRO - M,Gabriel Pereira,Renan Winterink,0,Sem Estoque,,Nunca atualizou,PAGA
3044878000117,TAGUATINGA MOTOS LTDA,Concessionária,CO1 - NADIA JAMAYARA CARDOSO PRIMO,Wellington Carvalho Bem,Feirão Pontual - 3 Feirões,Tatiane Silva,Renan Winterink,7,Até 10,15/05/2026,Acima de 90 dias,PAGA
30471274000120,Auto Land Comercio de Veículos Ltda,Revenda Multimarcas,SP5 - STEPHANIE REIS,Cassia Leite de Oliveira,Feirão Pontual - Feirão Setembro,Andre Souza,Luana Mota,59,Até 100,31/08/2026,Até 15 dias,PAGA
30483187000192,Bauru Premium,RevendaCarro,SPINT4 - VINICIUS THIAGO PINHEIRO DOS SANTOS,vinicius rosi garcia thereza,FEIRÃO SETEMBRO - G,Juliana Grande,Juliana Grande,0,Sem Estoque,,Nunca atualizou,AGUARDANDO_PAGAMENTO
30518397000179,CAMBRAIA AUTOMOVEIS COMERCIO DE VEICULOS LTDA,Revenda Multimarcas,MG1 - DOUGLAS HENRIQUE FERREIRA,WESLEY PAULO GONCALVES,Feirão Pontual - 3 Feirões,Ludmila Martins,Renan Winterink,72,Até 100,31/08/2026,Até 15 dias,PAGA
30544754000173,BRISENCI VEICULOS LTDA,RevendaCarro,SPINT5 - EDILSON BERNAL MOLEIRO,veridiana furlani hummel dos santos,FEIRÃO SETEMBRO - P,Juliana Grande,Juliana Grande,0,Sem Estoque,,Nunca atualizou,PAGA
30588825000130,cone sul veiculos,Revenda Multimarcas,NO1 - MARCOS WILLIAM MAIA LEMES JUNIOR,MARCOS RODRIGUES DE MORAIS AZAMBUJA,Feirão Pontual - 3 Feirões,,,38,Até 50,27/08/2026,Até 15 dias,PAGA
30629340000147,MOVIZE COMERCIO DE VEICULOS LTDA,RevendaCarro,SPINT3 - FABIO YOSHIKAZU TANIGUTI,luciano de oliveira junior,FEIRÃO SETEMBRO - M,Andre Souza,Luana Mota,0,Sem Estoque,,Nunca atualizou,PAGA
30644944000162,Fest Car,Revenda Multimarcas,NE2 - TASSIA CAMILA GOMES DE OLIVEIRA,Jean Francisco Emídio de Almeida,Feirão Pontual - 3 Feirões,Ruana Figueroa,Fernanda Souza,32,Até 50,26/08/2026,Até 15 dias,PAGA
30645016000112,ROSIVANIA G DA SILVA VEICULOS,Revenda Multimarcas,NE2 - TASSIA CAMILA GOMES DE OLIVEIRA,RODOLFO PAES BARRETO,Feirão Pontual - 3 Feirões,Ruana Figueroa,Fernanda Souza,0,Sem Estoque,,Nunca atualizou,PAGA
30742768000100,Daniel Auto Oeste,Revenda Multimarcas,NE2 - TASSIA CAMILA GOMES DE OLIVEIRA,Clenilze de Azevedo Farias,Feirão Pontual - 3 Feirões,Ruana Figueroa,Fernanda Souza,0,Sem Estoque,15/10/2024,Acima de 90 dias,3 PARC ATRASO
30769685000104,B & J COMÉRCIO DE VEÍCULOS LTDA,Revenda Multimarcas,SC1 - ELIANE DA SILVEIRA,CLICIA SOUZA DOS SANTOS,Feirão Pontual - Feirão Setembro,Gabriel Pereira,Renan Winterink,0,Sem Estoque,,Nunca atualizou,PAGA
30786942000108,M. Baba Pinhal - Motos / Macauly Motos,RevendaMoto,PR2 - MARIA INES ANTUNES,lucas da silva cardoso,FEIRÃO SETEMBRO - M,Lucynara Ochiai,Renan Winterink,0,Sem Estoque,,Nunca atualizou,PAGA
30793455000172,ALETRINI MULTIMARCAS LTDA,RevendaCarro,SPINT2 - MARCELO DE SOUSA CAETANO,Fernanda Almeida,FEIRÃO SETEMBRO - M,Juliana Grande,Juliana Grande,0,Sem Estoque,,Nunca atualizou,PENDENTE_ACEITE
30831673000154,RHS VEICULOS,Revenda Multimarcas,PR1 - DOUGLAS INÁCIO DA SILVA,JOAO LEONARDO DACHERI,Feirão Pontual - 2 Feirões,Lucynara Ochiai,Renan Winterink,32,Até 50,31/08/2026,Até 15 dias,PAGA
30855461000107,Economy Cars LTDA,Revenda Multimarcas,SC1 - ELIANE DA SILVEIRA,Gustavo Jefferson Sousa,Feirão Pontual - 3 Feirões,Gabriel Pereira,Renan Winterink,10,Até 10,23/08/2026,Até 15 dias,3 PARC ATRASO
30868048000187,Mega Comercio de veículos ltda,Revenda Multimarcas,NO2 - LUIZ CLAUDIO DA PALMA DE ALMEIDA MAIA,Renata Marinho Lopes,Feirão Pontual - 3 Feirões,Fernanda Souza,Fernanda Souza,2,Até 5,11/05/2026,Acima de 90 dias,PAGA
30924870000118,Baragão Veículos,RevendaCarro,PR1 - DOUGLAS INÁCIO DA SILVA,Cheila Sandra antonelli,FEIRÃO SETEMBRO - M,Lucynara Ochiai,Renan Winterink,0,Sem Estoque,21/01/2023,Acima de 90 dias,PENDENTE_ACEITE
30964594000111,RICARDO CAMPOS SOLUCOES,Revenda Multimarcas,NE3 - PAULO AMERICO LEMOS DE SEIXAS FILHO,Sidnei Miranda de Sousa,Feirão Pontual - Feirão Setembro,Fernanda Souza,Fernanda Souza,0,Sem Estoque,,Nunca atualizou,PAGA
3100118000180,Santa Paula Veículos,Revenda Multimarcas,SP4 - TIAGO FLORIANO OLIVEIRA,Felipe Henrique Meira Rebola,Feirão Pontual - 3 Feirões,Luana Marques,Juliana Grande,104,Acima 101,29/08/2026,Até 15 dias,PAGA
310130000120,Lucraf veículos Ltda,Revenda Multimarcas,RS1 - DAIANE DOS SANTOS CORREA,Márcio Paz Lopes,Feirão Pontual - Feirão Setembro,Bruna de Paula,Renan Winterink,0,Sem Estoque,,Nunca atualizou,PAGA
31017404000111,RENOVE CAR MULTIMARCAS,Revenda Multimarcas,RS1 - DAIANE DOS SANTOS CORREA,Israel salomao,Feirão Pontual - Feirão Setembro,Bruna de Paula,Renan Winterink,0,Sem Estoque,,Nunca atualizou,PAGA
31037378000193,Fip Multimarcas,Revenda Multimarcas,SPINT4 - VINICIUS THIAGO PINHEIRO DOS SANTOS,Gabriel Furlan,Feirão Pontual - 3 Feirões,Juliana Grande,Juliana Grande,6,Até 10,13/05/2026,Acima de 90 dias,PAGA
31046426000100,CMD Veiculos,Revenda Multimarcas,SPINT3 - FABIO YOSHIKAZU TANIGUTI,Jessica Cristina de Oliveira,Feirão Pontual - 3 Feirões,Andre Souza,Luana Mota,0,Sem Estoque,,Nunca atualizou,PAGA
3108066000198,comercial sudoeste veiculos,Revenda Multimarcas,SPINT5 - EDILSON BERNAL MOLEIRO,carlos alberto rosa,Feirão Pontual - 3 Feirões,Juliana Grande,Juliana Grande,35,Até 50,31/08/2026,Até 15 dias,1 PARC ATRASO
31150660000182,GLOBAL VEICULOS,RevendaCarro,SPINT3 - FABIO YOSHIKAZU TANIGUTI,Luiz Roberto galvao,FEIRÃO SETEMBRO - M,Andre Souza,Luana Mota,0,Sem Estoque,,Nunca atualizou,PAGA
31198807000104,WI VEICULOS LTDA,RevendaCarro,MG1 - DOUGLAS HENRIQUE FERREIRA,Jean Edson de Simas Granito,FEIRÃO SETEMBRO - P,Ludmila Martins,Renan Winterink,0,Sem Estoque,10/08/2023,Acima de 90 dias,PAGA
31263223000175,LN COMPANY COMERCIO E CONSIGNACAO DE AUTOMOVEIS LTDA,RevendaCarro,MG1 - DOUGLAS HENRIQUE FERREIRA,Wesley Paulo Gonçalves,FEIRÃO SETEMBRO - M,Ludmila Martins,Renan Winterink,0,Sem Estoque,05/11/2024,Acima de 90 dias,PAGA
31323042000197,SIM VEICULOS,RevendaCarro,RS1 - DAIANE DOS SANTOS CORREA,MARCELO STEFFEN,FEIRÃO SETEMBRO - P,Bruna de Paula,Renan Winterink,37,Até 50,31/08/2026,Até 15 dias,PAGA
31367481000100,FRIASCOMERCIODEVEICULOSLTDA,Revenda Multimarcas,SPINT2 - MARCELO DE SOUSA CAETANO,Rogerio Andre Torello,Feirão Pontual - 3 Feirões,Juliana Grande,Juliana Grande,66,Até 100,27/08/2026,Até 15 dias,PAGA
31444207000189,Pedro Augusto Toledo Lopes,RevendaCarro,SP7 - FLAVIA DE FATIMA CORREA,Thais mendes da silva ribeiro,FEIRÃO SETEMBRO - M,Juliana Grande,Juliana Grande,0,Sem Estoque,23/05/2026,Acima de 90 dias,PAGA
31449756000146,DMotors,RevendaCarro,SP3 - EDWARD PEREZ CAMPOS,LEANDRO PIGNATARI,FEIRÃO SETEMBRO - P,Luana Marques,Juliana Grande,0,Sem Estoque,,Nunca atualizou,PENDENTE_ACEITE
31474993000248,CENAHAUS AUTOMOVEIS LTDA,Revenda Multimarcas,SC2 - FABIANO HEIL DIAS,Ivo Rodrigues de Souza,Feirão Pontual - 3 Feirões,Gabriel Pereira,Renan Winterink,27,Até 30,21/08/2026,Até 15 dias,PAGA
31485732000142,barcelona multimarcas,Revenda Multimarcas,SC1 - ELIANE DA SILVEIRA,Eduardo Bittencourt,Feirão Pontual - Feirão Setembro,Gabriel Pereira,Renan Winterink,0,Sem Estoque,,Nunca atualizou,PAGA
31534638000136,AG Automoveis,Revenda Multimarcas,MG1 - DOUGLAS HENRIQUE FERREIRA,Ana Carolina Florencia,Feirão Pontual - 3 Feirões,Ludmila Martins,Renan Winterink,73,Até 100,29/08/2026,Até 15 dias,PAGA
31537101000120,CASA VERDE AUTOMOVEIS,Revenda Multimarcas,PR2 - MARIA INES ANTUNES,anderval junior moraes,Feirão Pontual - 3 Feirões,Lucynara Ochiai,Renan Winterink,16,Até 20,09/10/2024,Acima de 90 dias,PAGA
31544727000163,Dezenove Motors,Revenda Multimarcas,PR1 - DOUGLAS INÁCIO DA SILVA,Márcos Douglas ferreira,Feirão Pontual - Feirão Setembro,Lucynara Ochiai,Renan Winterink,0,Sem Estoque,08/01/2024,Acima de 90 dias,PAGA
31571577000187,H 2 COMERCIO DE VEICULOS LTDA,Revenda Multimarcas,NO1 - MARCOS WILLIAM MAIA LEMES JUNIOR,Adriana Figueredo Noronha Frota,Feirão Pontual - 3 Feirões,,,21,Até 30,31/08/2026,Até 15 dias,PAGA
31595898000111,GENINHO E MATHEUS CONSULTORIA AUTOMOTIVA LTDA,Revenda Multimarcas,MG1 - DOUGLAS HENRIQUE FERREIRA,Juliana Nogueira Lemos Gomes,Feirão Pontual - Feirão Setembro,Ludmila Martins,Renan Winterink,0,Sem Estoque,,Nunca atualizou,PAGA
31599065000129,VINTE E UM VEICULOS,Revenda Multimarcas,NE2 - TASSIA CAMILA GOMES DE OLIVEIRA,João Victor da Silva Torres,Feirão Pontual - 3 Feirões,Ruana Figueroa,Fernanda Souza,0,Sem Estoque,16/12/2024,Acima de 90 dias,PAGA
31704538000100,RM VEICULOS,RevendaCarro,SPINT2 - MARCELO DE SOUSA CAETANO,claudinei cremonesi junior,FEIRÃO SETEMBRO - P,Juliana Grande,Juliana Grande,6,Até 10,22/05/2026,Acima de 90 dias,PAGA
31724979000174,ALVES COMERCIO DE AUTOMOVEIS,Revenda Multimarcas,NO2 - LUIZ CLAUDIO DA PALMA DE ALMEIDA MAIA,Wallasse Correa,Feirão Pontual - 3 Feirões,Fernanda Souza,Fernanda Souza,8,Até 10,16/07/2026,31 a 60 dias,PAGA
31808564000189,4 rodas veículos Ltda,RevendaCarro,SPINT2 - MARCELO DE SOUSA CAETANO,Natália barbosa Bastos,FEIRÃO SETEMBRO - M,Juliana Grande,Juliana Grande,0,Sem Estoque,,Nunca atualizou,PENDENTE_ACEITE
31838700000183,Carlinhos Car,Revenda Multimarcas,NE3 - PAULO AMERICO LEMOS DE SEIXAS FILHO,Marcos Luís Freitas de Santana,Feirão Pontual - 3 Feirões,Fernanda Souza,Fernanda Souza,8,Até 10,17/06/2026,61 a 90 dias,PAGA
3184146000122,Nova alternativa Veiculos ltda,Revenda Multimarcas,NE1 - FRANCISCA IVANISE CARVALHO FERNANDES,Fabíola elcky Barbosa de Sá,Feirão Pontual - 3 Feirões,Fernanda Souza,Fernanda Souza,45,Até 50,31/08/2026,Até 15 dias,PAGA
31854838000176,AUTO SHOW SEMINOVOS,Revenda Multimarcas,SC1 - ELIANE DA SILVEIRA,Cynthia Fernandes Moura,Feirão Pontual - 3 Feirões,Gabriel Pereira,Renan Winterink,51,Até 100,28/08/2026,Até 15 dias,1 PARC ATRASO
31889714000126,Global Motors Comercio de Veiculos Ltda,RevendaCarro,PR1 - DOUGLAS INÁCIO DA SILVA,Henrique Fernandez Beltrão,FEIRÃO SETEMBRO - M,Lucynara Ochiai,Renan Winterink,0,Sem Estoque,27/05/2024,Acima de 90 dias,PAGA
31923300000176,STEINBACH COMERCIO DE VEICULOS LTDA,RevendaCarro,SC1 - ELIANE DA SILVEIRA,Evandro Fernando Machado Marczinski,FEIRÃO SETEMBRO - M,Gabriel Pereira,Renan Winterink,19,Até 20,31/07/2026,31 a 60 dias,PAGA
31939386000125,IPOJUCA COMERCIO DE VEICULOS LTDA,RevendaCarro,NE2 - TASSIA CAMILA GOMES DE OLIVEIRA,João victor Vicente dos Santos,FEIRÃO SETEMBRO - P,Ruana Figueroa,Fernanda Souza,0,Sem Estoque,,Nunca atualizou,PAGA
31996125000147,MAIKON VEÍCULOS LTDA,RevendaCarro,SC2 - FABIANO HEIL DIAS,Rafael Waldrich Eirof,FEIRÃO SETEMBRO - P,Gabriel Pereira,Renan Winterink,19,Até 20,28/08/2026,Até 15 dias,PAGA
3200537000193,Helinho Automoveis,RevendaCarro,SE1 - BRUNO NOGUEIRA MARTINS,Rodrigo C6 Ipatinga,FEIRÃO SETEMBRO - P,Ludmila Martins,Renan Winterink,0,Sem Estoque,,Nunca atualizou,PENDENTE_ACEITE
32015899000102,P R GUEDES,RevendaCarro,CO2 - THEONILO GONCALINO DE ALMEIDA,Wender Costa Miranda,FEIRÃO SETEMBRO - M,Tatiane Silva,Renan Winterink,0,Sem Estoque,,Nunca atualizou,PAGA
32093503000145,EDMILA HONORIO DA SILVA LTDA,RevendaCarro,SP4 - TIAGO FLORIANO OLIVEIRA,Silvia Pires de Almeida Souza,FEIRÃO SETEMBRO - M,Luana Marques,Juliana Grande,18,Até 20,31/08/2026,Até 15 dias,PAGA
32302686000161,Ana Paula Fernandes,Revenda Multimarcas,SP3 - EDWARD PEREZ CAMPOS,Henrique Alves Gomes,Feirão Pontual - Feirão Setembro,Luana Marques,Juliana Grande,0,Sem Estoque,,Nunca atualizou,PAGA
32310588000176,Fox Veiculos,Revenda Multimarcas,SP5 - STEPHANIE REIS,Valéria A G Costa,Feirão Pontual - Feirão Setembro,Andre Souza,Luana Mota,7,Até 10,22/08/2026,Até 15 dias,PAGA
32345681000116,Douglas Vinícius de Oliveira,RevendaCarro,SPINT3 - FABIO YOSHIKAZU TANIGUTI,Jessica Oliveira,FEIRÃO SETEMBRO - M,Andre Souza,Luana Mota,0,Sem Estoque,,Nunca atualizou,PAGA
32438148000107,Roni Motors,Revenda Multimarcas,SP5 - STEPHANIE REIS,Rafael Andrade Brito,Feirão Pontual - 3 Feirões,Andre Souza,Luana Mota,37,Até 50,29/08/2026,Até 15 dias,PAGA
32519609000168,PRIME DE LINS COMERCIO DE VEICULOS LTDA,RevendaCarro,SPINT4 - VINICIUS THIAGO PINHEIRO DOS SANTOS,GLAUBER JOSE BELOTO,FEIRÃO SETEMBRO - M,Juliana Grande,Juliana Grande,0,Sem Estoque,01/08/2023,Acima de 90 dias,PAGA
32614267000165,Ideal multimarcas,Revenda Multimarcas,SC1 - ELIANE DA SILVEIRA,Cynthia Fernandes Moura,Feirão Pontual - 3 Feirões,Gabriel Pereira,Renan Winterink,32,Até 50,14/08/2026,Até 30 dias,1 PARC ATRASO
3263411000168,BENEDITO GONCALVES AUTOMOVEIS,RevendaCarro,SPINT1 - CHRISTIANE LOPES,Tatiana de Sousa Abrão,FEIRÃO SETEMBRO - G,Juliana Grande,Juliana Grande,0,Sem Estoque,03/11/2021,Acima de 90 dias,PAGA
32666592000171,PL MOTORS,Revenda Multimarcas,SPINT4 - VINICIUS THIAGO PINHEIRO DOS SANTOS,Fabiana Pereira Quintiliano dos Reis Fabiana,Feirão Pontual - 3 Feirões,Juliana Grande,Juliana Grande,50,Até 50,28/08/2026,Até 15 dias,PAGA
32703212000121,ONE VEICULOS LTDA,Revenda Multimarcas,CO1 - NADIA JAMAYARA CARDOSO PRIMO,SILVIO EURIPEDES CORREA JUNIOR,Feirão Pontual - 3 Feirões,Tatiane Silva,Renan Winterink,7,Até 10,28/08/2026,Até 15 dias,PAGA
32750544000167,Fabiano Motors,Revenda Multimarcas,SP7 - FLAVIA DE FATIMA CORREA,Luiz Fernando Ferreira Henrique,Feirão Pontual - 3 Feirões,Juliana Grande,Juliana Grande,15,Até 20,27/08/2026,Até 15 dias,PAGA
3277094000139,OSVALDO VEICULOS LTDA,RevendaCarro,SPINT2 - MARCELO DE SOUSA CAETANO,victor fagotti soares,FEIRÃO SETEMBRO - M,Juliana Grande,Juliana Grande,30,Até 30,13/11/2025,Acima de 90 dias,PENDENTE_ACEITE
32792473000165,Leo Motors MS Negócios Ltda,RevendaCarro,CO2 - THEONILO GONCALINO DE ALMEIDA,Helaine Cristina de Almeida Barbosa,FEIRÃO SETEMBRO - P,Tatiane Silva,Renan Winterink,0,Sem Estoque,,Nunca atualizou,PAGA
