CNPJ,Loja,Segmento,GN,Feirao,Comercial,Estoque,Faixa_Estoque,Ultima_Atualizacao,Faixa_Atualizacao,Status_Pgto,Tem_Credencial,Contato_Wpp,Contato_Email
30257549000127,PETRAS VEICULOS,Revenda Multimarcas,ANDREIA FIASCHI ANDREOLI,Feirão Pontual - 3 Feirões,Juliana Grande,36,Até 50,31/08/2026,Até 15 dias,PAGA,Sim,Sim,Sim
30312386000138,Victor Multimarcas,RevendaCarro,Eduardo José Cheim Rodrigues,FEIRÃO SETEMBRO - M,Lucynara Ochiai,32,Até 50,31/08/2026,Até 15 dias,PAGA,Não,Não,Não
30387073000149,TONELLO UTILITARIOS LTDA,RevendaCarro,JAILSON MORAES,FEIRÃO SETEMBRO - M,Gabriel Pereira,12,Até 20,24/08/2026,Até 15 dias,PAGA,Sim,Não,Não
30389529000100,EMARQUES VEICULOS,RevendaCarro,Marlon Borges de oliveira,FEIRÃO SETEMBRO - P,Ludmila Martins,0,Sem Estoque,,Nunca atualizou,PAGA,Sim,Não,Não
30393414000199,30.393.414/0001-99,RevendaCarro,Mateus da Silva Dutra,FEIRÃO SETEMBRO - M,Gabriel Pereira,0,Sem Estoque,,Nunca atualizou,PAGA,Não,Não,Não
3044878000117,TAGUATINGA MOTOS LTDA,Concessionária,Wellington Carvalho Bem,Feirão Pontual - 3 Feirões,Tatiane Silva,7,Até 10,15/05/2026,Acima de 90 dias,PAGA,Sim,Sim,Sim
30471274000120,Auto Land Comercio de Veículos Ltda,Revenda Multimarcas,Cassia Leite de Oliveira,Feirão Pontual - Feirão Setembro,Andre Souza,59,Até 100,31/08/2026,Até 15 dias,PAGA,Sim,Não,Não
30483187000192,Bauru Premium,RevendaCarro,vinicius rosi garcia thereza,FEIRÃO SETEMBRO - G,Juliana Grande,0,Sem Estoque,,Nunca atualizou,AGUARDANDO_PAGAMENTO,Não,Não,Não
30518397000179,CAMBRAIA AUTOMOVEIS COMERCIO DE VEICULOS LTDA,Revenda Multimarcas,WESLEY PAULO GONCALVES,Feirão Pontual - 3 Feirões,Ludmila Martins,72,Até 100,31/08/2026,Até 15 dias,PAGA,Sim,Sim,Sim
30544754000173,BRISENCI VEICULOS LTDA,RevendaCarro,veridiana furlani hummel dos santos,FEIRÃO SETEMBRO - P,Juliana Grande,0,Sem Estoque,,Nunca atualizou,PAGA,Sim,Não,Não
30588825000130,cone sul veiculos,Revenda Multimarcas,MARCOS RODRIGUES DE MORAIS AZAMBUJA,Feirão Pontual - 3 Feirões,,38,Até 50,27/08/2026,Até 15 dias,PAGA,Sim,Sim,Sim
30629340000147,MOVIZE COMERCIO DE VEICULOS LTDA,RevendaCarro,luciano de oliveira junior,FEIRÃO SETEMBRO - M,Andre Souza,0,Sem Estoque,,Nunca atualizou,PAGA,Sim,Não,Não
30644944000162,Fest Car,Revenda Multimarcas,Jean Francisco Emídio de Almeida,Feirão Pontual - 3 Feirões,Ruana Figueroa,32,Até 50,26/08/2026,Até 15 dias,PAGA,Sim,Sim,Sim
30645016000112,ROSIVANIA G DA SILVA VEICULOS,Revenda Multimarcas,RODOLFO PAES BARRETO,Feirão Pontual - 3 Feirões,Ruana Figueroa,0,Sem Estoque,,Nunca atualizou,PAGA,Não,Não,Não
30742768000100,Daniel Auto Oeste,Revenda Multimarcas,Clenilze de Azevedo Farias,Feirão Pontual - 3 Feirões,Ruana Figueroa,0,Sem Estoque,15/10/2024,Acima de 90 dias,3 PARC ATRASO,Sim,Sim,Sim
30769685000104,B & J COMÉRCIO DE VEÍCULOS LTDA,Revenda Multimarcas,CLICIA SOUZA DOS SANTOS,Feirão Pontual - Feirão Setembro,Gabriel Pereira,0,Sem Estoque,,Nunca atualizou,PAGA,Sim,Não,Não
30786942000108,M. Baba Pinhal - Motos / Macauly Motos,RevendaMoto,lucas da silva cardoso,FEIRÃO SETEMBRO - M,Lucynara Ochiai,0,Sem Estoque,,Nunca atualizou,PAGA,Sim,Não,Não
30793455000172,ALETRINI MULTIMARCAS LTDA,RevendaCarro,Fernanda Almeida,FEIRÃO SETEMBRO - M,Juliana Grande,0,Sem Estoque,,Nunca atualizou,PENDENTE_ACEITE,Não,Sim,Sim
30831673000154,RHS VEICULOS,Revenda Multimarcas,JOAO LEONARDO DACHERI,Feirão Pontual - 2 Feirões,Lucynara Ochiai,32,Até 50,31/08/2026,Até 15 dias,PAGA,Sim,Não,Não
30855461000107,Economy Cars LTDA,Revenda Multimarcas,Gustavo Jefferson Sousa,Feirão Pontual - 3 Feirões,Gabriel Pereira,10,Até 10,23/08/2026,Até 15 dias,3 PARC ATRASO,Sim,Não,Não
30868048000187,Mega Comercio de veículos ltda,Revenda Multimarcas,Renata Marinho Lopes,Feirão Pontual - 3 Feirões,Fernanda Souza,2,Até 5,11/05/2026,Acima de 90 dias,PAGA,Sim,Sim,Sim
30924870000118,Baragão Veículos,RevendaCarro,Cheila Sandra antonelli,FEIRÃO SETEMBRO - M,Lucynara Ochiai,0,Sem Estoque,21/01/2023,Acima de 90 dias,PENDENTE_ACEITE,Não,Não,Não
30964594000111,RICARDO CAMPOS SOLUCOES,Revenda Multimarcas,Sidnei Miranda de Sousa,Feirão Pontual - Feirão Setembro,Fernanda Souza,0,Sem Estoque,,Nunca atualizou,PAGA,Sim,Não,Não
3100118000180,Santa Paula Veículos,Revenda Multimarcas,Felipe Henrique Meira Rebola,Feirão Pontual - 3 Feirões,Luana Marques,104,Acima 101,29/08/2026,Até 15 dias,PAGA,Sim,Sim,Sim
310130000120,Lucraf veículos Ltda,Revenda Multimarcas,Márcio Paz Lopes,Feirão Pontual - Feirão Setembro,Bruna de Paula,0,Sem Estoque,,Nunca atualizou,PAGA,Sim,Não,Não
31017404000111,RENOVE CAR MULTIMARCAS,Revenda Multimarcas,Israel salomao,Feirão Pontual - Feirão Setembro,Bruna de Paula,0,Sem Estoque,,Nunca atualizou,PAGA,Sim,Não,Não
31037378000193,Fip Multimarcas,Revenda Multimarcas,Gabriel Furlan,Feirão Pontual - 3 Feirões,Juliana Grande,6,Até 10,13/05/2026,Acima de 90 dias,PAGA,Sim,Sim,Sim
31046426000100,CMD Veiculos,Revenda Multimarcas,Jessica Cristina de Oliveira,Feirão Pontual - 3 Feirões,Andre Souza,0,Sem Estoque,,Nunca atualizou,PAGA,Sim,Sim,Sim
3108066000198,comercial sudoeste veiculos,Revenda Multimarcas,carlos alberto rosa,Feirão Pontual - 3 Feirões,Juliana Grande,35,Até 50,31/08/2026,Até 15 dias,1 PARC ATRASO,Sim,Não,Não
31150660000182,GLOBAL VEICULOS,RevendaCarro,Luiz Roberto galvao,FEIRÃO SETEMBRO - M,Andre Souza,0,Sem Estoque,,Nunca atualizou,PAGA,Sim,Não,Não
31198807000104,WI VEICULOS LTDA,RevendaCarro,Jean Edson de Simas Granito,FEIRÃO SETEMBRO - P,Ludmila Martins,0,Sem Estoque,10/08/2023,Acima de 90 dias,PAGA,Sim,Sim,Sim
31263223000175,LN COMPANY COMERCIO E CONSIGNACAO DE AUTOMOVEIS LTDA,RevendaCarro,Wesley Paulo Gonçalves,FEIRÃO SETEMBRO - M,Ludmila Martins,0,Sem Estoque,05/11/2024,Acima de 90 dias,PAGA,Não,Não,Não
31323042000197,SIM VEICULOS,RevendaCarro,MARCELO STEFFEN,FEIRÃO SETEMBRO - P,Bruna de Paula,37,Até 50,31/08/2026,Até 15 dias,PAGA,Não,Não,Não
31367481000100,FRIASCOMERCIODEVEICULOSLTDA,Revenda Multimarcas,Rogerio Andre Torello,Feirão Pontual - 3 Feirões,Juliana Grande,66,Até 100,27/08/2026,Até 15 dias,PAGA,Sim,Sim,Sim
31444207000189,Pedro Augusto Toledo Lopes,RevendaCarro,Thais mendes da silva ribeiro,FEIRÃO SETEMBRO - M,Juliana Grande,0,Sem Estoque,23/05/2026,Acima de 90 dias,PAGA,Sim,Sim,Sim
31449756000146,DMotors,RevendaCarro,LEANDRO PIGNATARI,FEIRÃO SETEMBRO - P,Luana Marques,0,Sem Estoque,,Nunca atualizou,PENDENTE_ACEITE,Não,Não,Não
31474993000248,CENAHAUS AUTOMOVEIS LTDA,Revenda Multimarcas,Ivo Rodrigues de Souza,Feirão Pontual - 3 Feirões,Gabriel Pereira,27,Até 30,21/08/2026,Até 15 dias,PAGA,Sim,Sim,Sim
31485732000142,barcelona multimarcas,Revenda Multimarcas,Eduardo Bittencourt,Feirão Pontual - Feirão Setembro,Gabriel Pereira,0,Sem Estoque,,Nunca atualizou,PAGA,Sim,Não,Não
31534638000136,AG Automoveis,Revenda Multimarcas,Ana Carolina Florencia,Feirão Pontual - 3 Feirões,Ludmila Martins,73,Até 100,29/08/2026,Até 15 dias,PAGA,Sim,Sim,Sim
31537101000120,CASA VERDE AUTOMOVEIS,Revenda Multimarcas,anderval junior moraes,Feirão Pontual - 3 Feirões,Lucynara Ochiai,16,Até 20,09/10/2024,Acima de 90 dias,PAGA,Sim,Sim,Sim
31544727000163,Dezenove Motors,Revenda Multimarcas,Márcos Douglas ferreira,Feirão Pontual - Feirão Setembro,Lucynara Ochiai,0,Sem Estoque,08/01/2024,Acima de 90 dias,PAGA,Sim,Não,Não
31571577000187,H 2 COMERCIO DE VEICULOS LTDA,Revenda Multimarcas,Adriana Figueredo Noronha Frota,Feirão Pontual - 3 Feirões,,21,Até 30,31/08/2026,Até 15 dias,PAGA,Sim,Sim,Sim
31595898000111,GENINHO E MATHEUS CONSULTORIA AUTOMOTIVA LTDA,Revenda Multimarcas,Juliana Nogueira Lemos Gomes,Feirão Pontual - Feirão Setembro,Ludmila Martins,0,Sem Estoque,,Nunca atualizou,PAGA,Sim,Não,Não
31599065000129,VINTE E UM VEICULOS,Revenda Multimarcas,João Victor da Silva Torres,Feirão Pontual - 3 Feirões,Ruana Figueroa,0,Sem Estoque,16/12/2024,Acima de 90 dias,PAGA,Sim,Sim,Sim
31704538000100,RM VEICULOS,RevendaCarro,claudinei cremonesi junior,FEIRÃO SETEMBRO - P,Juliana Grande,6,Até 10,22/05/2026,Acima de 90 dias,PAGA,Não,Não,Não
31724979000174,ALVES COMERCIO DE AUTOMOVEIS,Revenda Multimarcas,Wallasse Correa,Feirão Pontual - 3 Feirões,Fernanda Souza,8,Até 10,16/07/2026,31 a 60 dias,PAGA,Sim,Sim,Sim
31808564000189,4 rodas veículos Ltda,RevendaCarro,Natália barbosa Bastos,FEIRÃO SETEMBRO - M,Juliana Grande,0,Sem Estoque,,Nunca atualizou,PENDENTE_ACEITE,Não,Sim,Sim
31838700000183,Carlinhos Car,Revenda Multimarcas,Marcos Luís Freitas de Santana,Feirão Pontual - 3 Feirões,Fernanda Souza,8,Até 10,17/06/2026,61 a 90 dias,PAGA,Sim,Sim,Sim
3184146000122,Nova alternativa Veiculos ltda,Revenda Multimarcas,Fabíola elcky Barbosa de Sá,Feirão Pontual - 3 Feirões,Fernanda Souza,45,Até 50,31/08/2026,Até 15 dias,PAGA,Sim,Sim,Sim
31854838000176,AUTO SHOW SEMINOVOS,Revenda Multimarcas,Cynthia Fernandes Moura,Feirão Pontual - 3 Feirões,Gabriel Pereira,51,Até 100,28/08/2026,Até 15 dias,1 PARC ATRASO,Sim,Sim,Sim
31889714000126,Global Motors Comercio de Veiculos Ltda,RevendaCarro,Henrique Fernandez Beltrão,FEIRÃO SETEMBRO - M,Lucynara Ochiai,0,Sem Estoque,27/05/2024,Acima de 90 dias,PAGA,Sim,Sim,Sim
31923300000176,STEINBACH COMERCIO DE VEICULOS LTDA,RevendaCarro,Evandro Fernando Machado Marczinski,FEIRÃO SETEMBRO - M,Gabriel Pereira,19,Até 20,31/07/2026,31 a 60 dias,PAGA,Sim,Não,Não
31939386000125,IPOJUCA COMERCIO DE VEICULOS LTDA,RevendaCarro,João victor Vicente dos Santos,FEIRÃO SETEMBRO - P,Ruana Figueroa,0,Sem Estoque,,Nunca atualizou,PAGA,Sim,Não,Não
31996125000147,MAIKON VEÍCULOS LTDA,RevendaCarro,Rafael Waldrich Eirof,FEIRÃO SETEMBRO - P,Gabriel Pereira,19,Até 20,28/08/2026,Até 15 dias,PAGA,Sim,Não,Não
3200537000193,Helinho Automoveis,RevendaCarro,Rodrigo C6 Ipatinga,FEIRÃO SETEMBRO - P,Ludmila Martins,0,Sem Estoque,,Nunca atualizou,PENDENTE_ACEITE,Não,Não,Não
32015899000102,P R GUEDES,RevendaCarro,Wender Costa Miranda,FEIRÃO SETEMBRO - M,Tatiane Silva,0,Sem Estoque,,Nunca atualizou,PAGA,Não,Não,Não
32093503000145,EDMILA HONORIO DA SILVA LTDA,RevendaCarro,Silvia Pires de Almeida Souza,FEIRÃO SETEMBRO - M,Luana Marques,18,Até 20,31/08/2026,Até 15 dias,PAGA,Sim,Não,Não
32302686000161,Ana Paula Fernandes,Revenda Multimarcas,Henrique Alves Gomes,Feirão Pontual - Feirão Setembro,Luana Marques,0,Sem Estoque,,Nunca atualizou,PAGA,Sim,Não,Não
32310588000176,Fox Veiculos,Revenda Multimarcas,Valéria A G Costa,Feirão Pontual - Feirão Setembro,Andre Souza,7,Até 10,22/08/2026,Até 15 dias,PAGA,Sim,Não,Não
32345681000116,Douglas Vinícius de Oliveira,RevendaCarro,Jessica Oliveira,FEIRÃO SETEMBRO - M,Andre Souza,0,Sem Estoque,,Nunca atualizou,PAGA,Sim,Não,Não
32438148000107,Roni Motors,Revenda Multimarcas,Rafael Andrade Brito,Feirão Pontual - 3 Feirões,Andre Souza,37,Até 50,29/08/2026,Até 15 dias,PAGA,Sim,Sim,Sim
32519609000168,PRIME DE LINS COMERCIO DE VEICULOS LTDA,RevendaCarro,GLAUBER JOSE BELOTO,FEIRÃO SETEMBRO - M,Juliana Grande,0,Sem Estoque,01/08/2023,Acima de 90 dias,PAGA,Sim,Não,Não
32614267000165,Ideal multimarcas,Revenda Multimarcas,Cynthia Fernandes Moura,Feirão Pontual - 3 Feirões,Gabriel Pereira,32,Até 50,14/08/2026,Até 30 dias,1 PARC ATRASO,Sim,Não,Não
3263411000168,BENEDITO GONCALVES AUTOMOVEIS,RevendaCarro,Tatiana de Sousa Abrão,FEIRÃO SETEMBRO - G,Juliana Grande,0,Sem Estoque,03/11/2021,Acima de 90 dias,PAGA,Sim,Não,Não
32666592000171,PL MOTORS,Revenda Multimarcas,Fabiana Pereira Quintiliano dos Reis Fabiana,Feirão Pontual - 3 Feirões,Juliana Grande,50,Até 50,28/08/2026,Até 15 dias,PAGA,Sim,Sim,Sim
32703212000121,ONE VEICULOS LTDA,Revenda Multimarcas,SILVIO EURIPEDES CORREA JUNIOR,Feirão Pontual - 3 Feirões,Tatiane Silva,7,Até 10,28/08/2026,Até 15 dias,PAGA,Sim,Sim,Sim
32750544000167,Fabiano Motors,Revenda Multimarcas,Luiz Fernando Ferreira Henrique,Feirão Pontual - 3 Feirões,Juliana Grande,15,Até 20,27/08/2026,Até 15 dias,PAGA,Sim,Sim,Sim
3277094000139,OSVALDO VEICULOS LTDA,RevendaCarro,victor fagotti soares,FEIRÃO SETEMBRO - M,Juliana Grande,30,Até 30,13/11/2025,Acima de 90 dias,PENDENTE_ACEITE,Não,Não,Não
32792473000165,Leo Motors MS Negócios Ltda,RevendaCarro,Helaine Cristina de Almeida Barbosa,FEIRÃO SETEMBRO - P,Tatiane Silva,0,Sem Estoque,,Nunca atualizou,PAGA,Não,Sim,Sim
32936020000165,BARUC COMERCIO DE VEICULOS LTDA,RevendaCarro,Eduardo Luis Braceiro,FEIRÃO SETEMBRO - M,Luana Marques,55,Até 100,29/08/2026,Até 15 dias,PAGA,Sim,Sim,Sim
32992683000105,Macedo car se ltda,Revenda Multimarcas,Clevina Santos melo,Feirão Pontual - Feirão Setembro,Fernanda Souza,0,Sem Estoque,,Nunca atualizou,PAGA,Sim,Não,Não
33068868000182,ASL COMERCIO DE VEICULOS LTDA,RevendaCarro,DIEGO JAKPOZYNEK,FEIRÃO SETEMBRO - M,Lucynara Ochiai,41,Até 50,31/08/2026,Até 15 dias,PAGA,Sim,Sim,Sim
33108865000125,Maxi Car Comercio de Veiculos LTDA,RevendaCarro,Felipe Gabriel Kerscher,FEIRÃO SETEMBRO - G,Gabriel Pereira,0,Sem Estoque,,Nunca atualizou,PENDENTE_ACEITE,Não,Não,Não
33204392000160,Atacadão do Carro,Revenda Multimarcas,João Leonardo Dacheri,Feirão Pontual - 2 Feirões,Lucynara Ochiai,0,Sem Estoque,,Nunca atualizou,PAGA,Sim,Não,Não
3321969000152,JOAO MARCELO APARECIDO BENATTI & CIA LTDA,Revenda Multimarcas,Jessica Cristina de Oliveira,Feirão Pontual - 3 Feirões,Andre Souza,47,Até 50,29/08/2026,Até 15 dias,PAGA,Sim,Sim,Sim
33343712000162,TOP VEICULOS,Revenda Multimarcas,DIego de Moraes Subtil,Feirão Pontual - 3 Feirões,Gabriel Pereira,43,Até 50,28/08/2026,Até 15 dias,PAGA,Sim,Sim,Sim
33393700000142,Auto Giro,Revenda Multimarcas,Ivo Rodrigues de Souza,Feirão Pontual - 3 Feirões,Gabriel Pereira,21,Até 30,28/08/2026,Até 15 dias,1 PARC ATRASO,Sim,Sim,Sim
33398854000127,Neko Garages,RevendaCarro,Karina Pasquarelli Oliveira,FEIRÃO SETEMBRO - P,Juliana Grande,25,Até 30,31/08/2026,Até 15 dias,PAGA,Não,Não,Não
33410808000104,4 Rodas Automoveis,RevendaCarro,VILMAR SOBCSIK,FEIRÃO SETEMBRO - M,Gabriel Pereira,0,Sem Estoque,,Nunca atualizou,PAGA,Não,Sim,Sim
33472892000182,SULSERRA MOTORS COMERCIO DE VEICULOS LTDA,RevendaCarro,Greice Nunes,FEIRÃO SETEMBRO - P,Bruna de Paula,0,Sem Estoque,,Nunca atualizou,PAGA,Sim,Não,Não
33482323000118,PINHEIRO VEICULOS LTDA,RevendaCarro,RUI ADALBERTO KUNZE JUNIOR,FEIRÃO SETEMBRO - G,Tatiane Silva,22,Até 30,31/08/2026,Até 15 dias,PAGA,Sim,Não,Não
33514611000107,FABIO VEICULOS,Revenda Multimarcas,GLEYDSON RODRIGUES RIBEIRO DE ALMEIDA,Feirão Pontual - Feirão Setembro,,0,Sem Estoque,,Nunca atualizou,AGUARDANDO_PAGAMENTO,Sim,Não,Não
33556484000109,ADAO DOUGLAS RODRIGUES DA COSTA,Revenda Multimarcas,Elísia Nataly Lima Martins Barros,Feirão Pontual - 2 Feirões,Fernanda Souza,7,Até 10,18/08/2026,Até 15 dias,PAGA,Sim,Não,Não
33671979000189,J R B DE OLIVEIRA FILHO,RevendaCarro,jonathas da silva andrade,FEIRÃO SETEMBRO - M,Fernanda Souza,0,Sem Estoque,07/04/2025,Acima de 90 dias,PENDENTE_ACEITE,Não,Não,Não
33674978000198,LEAO MOTORS LTDA,RevendaCarro,MARCOS HIGINO DA SILVA,FEIRÃO SETEMBRO - M,Tatiane Silva,0,Sem Estoque,,Nunca atualizou,PAGA,Não,Não,Não
33739013000136,Fontanella Assessoria E Comercio Ltda,Revenda Multimarcas,Everton Mateus Marczinski,Feirão Pontual - 3 Feirões,Gabriel Pereira,14,Até 20,28/08/2026,Até 15 dias,PAGA,Sim,Sim,Sim
33749776000168,ALEX SILVA,Revenda Multimarcas,ALEX RAMOS LEITE DA SILVA,Feirão Pontual - 3 Feirões,Fernanda Souza,9,Até 10,22/08/2026,Até 15 dias,3 PARC ATRASO,Sim,Não,Não
33763796000193,A MARINHO PICANCO LTDA,RevendaCarro,RENATA LOPES,FEIRÃO SETEMBRO - P,Fernanda Souza,0,Sem Estoque,,Nunca atualizou,PAGA,Não,Não,Não
33882843000118,SENNA RS MOTORS,RevendaCarro,Danielly Mazza,FEIRÃO SETEMBRO - P,Bruna de Paula,11,Até 20,30/07/2026,31 a 60 dias,PAGA,Sim,Não,Não
33883532000173,Lancia Veiculos,RevendaCarro,Eliana Serafim de Freitas,FEIRÃO SETEMBRO - M,Luana Mota,0,Sem Estoque,,Nunca atualizou,PAGA,Não,Não,Não
33906703000132,Nacional veículos Ltda,RevendaCarro,Denise Rocha da Costa,FEIRÃO SETEMBRO - M,Fernanda Souza,0,Sem Estoque,,Nunca atualizou,PAGA,Não,Sim,Sim
33948616000148,V R MOTORS,RevendaCarro,Carlos Alberto Rosa,2 FEIROES - P,Juliana Grande,0,Sem Estoque,,Nunca atualizou,PAGA,Sim,Não,Não
33979492000168,Blumenau Multimarcas,Revenda Multimarcas,João Vitor Salvador dos Santos,Feirão Pontual - 3 Feirões,Gabriel Pereira,30,Até 30,26/08/2026,Até 15 dias,1 PARC ATRASO,Sim,Sim,Sim
33980966000191,Fernando Repasses,RevendaCarro,Alex Mateus Gugel,FEIRÃO SETEMBRO - P,Gabriel Pereira,43,Até 50,27/08/2026,Até 15 dias,PAGA,Sim,Não,Não
34004870000150,Rubens Antunes Automóveis LTDA / IMPERAR MULTIMARCAS,Revenda Multimarcas,Everton Mateus Marczinski,Feirão Pontual - 3 Feirões,Gabriel Pereira,44,Até 50,31/08/2026,Até 15 dias,1 PARC ATRASO,Sim,Sim,Sim
34018588000122,SILVA ARAUJO COMERCIO DE VEICULOS LTDA,RevendaCarro,Dene Moreira Alves,FEIRÃO SETEMBRO - P,Ludmila Martins,0,Sem Estoque,,Nunca atualizou,AGUARDANDO_PAGAMENTO,Não,Não,Não
3406561000183,PA Automóveis,Revenda Multimarcas,Jefferson Vinicio de Oliveira Pereira,Feirão Pontual - Feirão Setembro,Ludmila Martins,0,Sem Estoque,05/11/2022,Acima de 90 dias,PAGA,Não,Não,Não
34086531000160,CONNECTCAR COMERCIO DE VEICULOS LTDA,RevendaCarro,Denise Rocha da Costa,FEIRÃO SETEMBRO - M,Fernanda Souza,8,Até 10,15/05/2026,Acima de 90 dias,PAGA,Sim,Não,Não
34146877000107,REI DO FEIRAO MULTIMARCAS LTDA,Revenda Multimarcas,Eduardo Bittencourt,Feirão Pontual - 3 Feirões,Gabriel Pereira,102,Acima 101,26/08/2026,Até 15 dias,1 PARC ATRASO,Sim,Sim,Sim
34163643000178,Auto vale,RevendaCarro,Maicon Augusto de castro,FEIRÃO SETEMBRO - M,Bruna de Paula,0,Sem Estoque,,Nunca atualizou,PAGA,Sim,Não,Não
34166654000101,HORSE AUTOMOVEIS,Revenda Multimarcas,CYNTHIA FERNANDES MOURA,Feirão Pontual - Feirão Setembro,Gabriel Pereira,0,Sem Estoque,,Nunca atualizou,PAGA,Sim,Não,Não
34284525000118,Vip Car Multimarcas,Revenda Multimarcas,Gian Luka Santos Morais,Feirão Pontual - 3 Feirões,Ruana Figueroa,0,Sem Estoque,,Nunca atualizou,4 PARC ATRASO,Sim,Não,Não
34285661000122,HB multimarcas importados Eireli,RevendaCarro,Rafael Alves Coelho,FEIRÃO SETEMBRO - M,Tatiane Silva,0,Sem Estoque,,Nunca atualizou,PAGA,Não,Não,Não
3430123000150,ELITE MOTORS VEICULOS,RevendaCarro,GENIVAL CRUZ,FEIRÃO SETEMBRO - P,Tatiane Silva,0,Sem Estoque,28/08/2026,Até 15 dias,PAGA,Sim,Sim,Sim
34338933000105,PAULISTA COMERCIO E LOCADORA DE VEICULOS EIRELI,RevendaCarro,AMANDA MALLMANN MARTINS,FEIRÃO SETEMBRO - M,Tatiane Silva,0,Sem Estoque,25/03/2022,Acima de 90 dias,PENDENTE_ACEITE,Não,Não,Não
34360710000144,JG VEICULOS,Revenda Multimarcas,Carolina jardim Rocha Araújo,Feirão Pontual - Feirão Setembro,Ludmila Martins,0,Sem Estoque,,Nunca atualizou,PAGA,Sim,Não,Não
34403695000174,Rodocar Veículos,Revenda Multimarcas,Brunno Andrade Marques,Feirão Pontual - 2 Feirões,Ludmila Martins,0,Sem Estoque,17/04/2025,Acima de 90 dias,PAGA,Sim,Não,Não
34437564000108,AUTO CLARO MULTIMARCAS LTDA,RevendaCarro,CAROLINA ARAUJO DE PAIVA FRANCI,2 FEIROES - P,Juliana Grande,21,Até 30,28/08/2026,Até 15 dias,PAGA,Sim,Sim,Sim
34507623000177,INFINITY MOTORS,Revenda Multimarcas,ALISSON DIEGO GROCHOVSKI,Feirão Pontual - Feirão Setembro,Gabriel Pereira,9,Até 10,19/05/2026,Acima de 90 dias,AGUARDANDO_PAGAMENTO,Sim,Não,Não
34536702000106,JOAB AUTOMOVEIS,RevendaCarro,lucas eredia amorim,FEIRÃO SETEMBRO - M,Juliana Grande,0,Sem Estoque,,Nunca atualizou,AGUARDANDO_PAGAMENTO,Não,Não,Não
34577390000189,WFULL MOTORS LTDA,Revenda Multimarcas,GUSTAVO ISAC ROSA,Feirão Pontual - 2 Feirões,Tatiane Silva,0,Sem Estoque,,Nunca atualizou,PAGA,Sim,Não,Não
34640646000155,FABIO VEÍCULOS,Revenda Multimarcas,LUCAS DIOGO ALVES FERREIRA,Feirão Pontual - 3 Feirões,Fernanda Souza,0,Sem Estoque,,Nunca atualizou,PAGA,Sim,Sim,Sim
34673115000169,Lmd Motors Comercio de Veículos Ltda,RevendaCarro,Viviani dos Santos Freitas,FEIRÃO SETEMBRO - G,Luana Marques,0,Sem Estoque,,Nunca atualizou,PENDENTE_ACEITE,Não,Não,Não
34696225000146,JOSE ALTAMIR DA SILVA REBELO / REBELO VEÍCULOS,RevendaCarro,Douglas Maciel Padilha,FEIRÃO SETEMBRO - P,Bruna de Paula,0,Sem Estoque,,Nunca atualizou,PAGA,Sim,Não,Não
3474143000123,J L DA CUNHA,Revenda Multimarcas,Claudia de Lima Campelo,Feirão Pontual - 3 Feirões,Ruana Figueroa,2,Até 5,15/06/2026,61 a 90 dias,PAGA,Sim,Sim,Sim
34754232000157,BAHAMAS AUTOMOVEIS,RevendaCarro,Cassiano Matteus Goes,FEIRÃO SETEMBRO - P,Gabriel Pereira,0,Sem Estoque,,Nunca atualizou,PAGA,Sim,Sim,Sim
34832361000116,Vertex motors,RevendaCarro,Sergio Ricardo Parisio Santos,FEIRÃO SETEMBRO - P,Fernanda Souza,23,Até 30,25/08/2026,Até 15 dias,PAGA,Não,Sim,Sim
34863254000155,SILVERIO MULTIMARCAS,Revenda Multimarcas,ANDREIA FIASCHI ANDREOLI,Feirão Pontual - 3 Feirões,Juliana Grande,111,Acima 101,31/08/2026,Até 15 dias,PAGA,Sim,Sim,Sim
34874894000160,AUTO SPORT,Revenda Multimarcas,KAREN SABRINA NEVES DA SILVA,Feirão Pontual - Feirão Setembro,Ludmila Martins,16,Até 20,31/08/2026,Até 15 dias,PAGA,Sim,Não,Não
34904590000107,Kinhoshow10,Revenda Multimarcas,Márcio Paz Lopes,Feirão Pontual - Feirão Setembro,Bruna de Paula,0,Sem Estoque,,Nunca atualizou,AGUARDANDO_PAGAMENTO,Sim,Não,Não
34910553000101,Yones Car,Revenda Multimarcas,Carlos Henrique Vicente Petrelli,Feirão Pontual - Feirão Setembro,Lucynara Ochiai,37,Até 50,27/08/2026,Até 15 dias,AGUARDANDO_PAGAMENTO,Sim,Não,Não
35010403000104,M G Silva Automóveis LTDA,Revenda Multimarcas,Rosilene Morais Alves Campos,Feirão Pontual - 3 Feirões,Juliana Grande,7,Até 10,20/05/2026,Acima de 90 dias,PAGA,Sim,Sim,Sim
35036621000100,Sempre Mais Comercio de Veiculos LTDA,Revenda Multimarcas,Silvia Pires de Almeida Souza,Feirão Pontual - 3 Feirões,Luana Marques,116,Acima 101,31/08/2026,Até 15 dias,PAGA,Sim,Sim,Sim
35042158000109,VIRTUS MULTIMARCAS,Revenda Multimarcas,Gilbert Santos de Oliveira,Feirão Pontual - 3 Feirões,Ludmila Martins,60,Até 100,29/08/2026,Até 15 dias,PAGA,Sim,Sim,Sim
